Study_word	test_word	Reference	old_new	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	trials_2.thisRepN	trials_2.thisTrialN	trials_2.thisN	trials_2.thisIndex	thisRow.t	notes	Study_Phase.started	StudyText.started	Studyslider.started	Study_Phase.stopped	Studyslider.response	Studyslider.rt	Test_Phase.started	TestText.started	test_textbox.started	submit_text.started	testmouse.started	Test_Phase.stopped	test_textbox.text	testmouse.x	testmouse.y	testmouse.leftButton	testmouse.midButton	testmouse.rightButton	testmouse.time	testmouse.clicked_name	TestText.stopped	participant	session	date	expName	psychopyVersion	frameRate	expStart
	T_hi_t	Tshirt	old					0	6	6	2	57.5288215								57.484471	57.5288215	57.5288215	57.5288215	0.0096075	62.0319878	tshirt	[0.025]	[-0.29814814814814816]	[1]	[0]	[0]	[4.537308899918571]	['submit_text']		1	1	2024-11-07_14h40.45.827	Word Priming	2024.1.5	None	2024-11-07 14h40.59.767446 +0530
	c_m_ra	Camera	new					0	7	7	19	62.0642531								62.0336418	62.0642531	62.0642531	62.0642531	0.006105	66.79406	camera	[-0.003703703703703704]	[-0.29907407407407405]	[1]	[0]	[0]	[4.752939499914646]	['submit_text']		1	1	2024-11-07_14h40.45.827	Word Priming	2024.1.5	None	2024-11-07 14h40.59.767446 +0530
	ta_l_	Table	new					0	8	8	15	66.8342232								66.7969407	66.8342232	66.8342232	66.8342232	0.0125771	66.9557735	tabel	[-0.003703703703703704]	[-0.29907407407407405]	[1]	[0]	[0]	[0.14583669998683035]	['submit_text']		1	1	2024-11-07_14h40.45.827	Word Priming	2024.1.5	None	2024-11-07 14h40.59.767446 +0530
	P_s_r_	Pastry	old					0	9	9	4	66.9714461								66.9567556	66.9714461	66.9714461	66.9714461	0.0035361	71.001068	pastry	[0.04722222222222222]	[-0.2916666666666667]	[1]	[0]	[0]	[4.039919399889186]	['submit_text']		1	1	2024-11-07_14h40.45.827	Word Priming	2024.1.5	None	2024-11-07 14h40.59.767446 +0530
	c_s_	Case	old					0	10	10	5	71.0308692								71.0029461	71.0308692	71.0308692	71.0308692	0.0059308	76.2076078	case	"[0.01574074074074074, 0.021296296296296296]"	"[-0.2657407407407407, -0.2777777777777778]"	"[1, 1]"	"[0, 0]"	"[0, 0]"	"[4.1504571998957545, 5.198270699940622]"	['submit_text']		1	1	2024-11-07_14h40.45.827	Word Priming	2024.1.5	None	2024-11-07 14h40.59.767446 +0530
	K_y_	Keys	old					0	11	11	8	76.2270822								76.2086792	76.2270822	76.2270822	76.2270822	0.0036638	79.0873394	keys	[0.020370370370370372]	[-0.30648148148148147]	[1]	[0]	[0]	[2.873998200055212]	['submit_text']		1	1	2024-11-07_14h40.45.827	Word Priming	2024.1.5	None	2024-11-07 14h40.59.767446 +0530
	P_li_e	Police	old					0	12	12	7	79.1171396								79.0889931	79.1171396	79.1171396	79.1171396	0.0063712	83.215466	police	[-0.062037037037037036]	[-0.28703703703703703]	[1]	[0]	[0]	[4.118887200020254]	['submit_text']		1	1	2024-11-07_14h40.45.827	Word Priming	2024.1.5	None	2024-11-07 14h40.59.767446 +0530
	P_st_r	Poster	old					0	13	13	9	83.2476605								83.217072	83.2476605	83.2476605	83.2476605	0.0061321	88.1062247	poster	[-0.06388888888888888]	[-0.3055555555555556]	[1]	[0]	[0]	[4.882204199908301]	['submit_text']		1	1	2024-11-07_14h40.45.827	Word Priming	2024.1.5	None	2024-11-07 14h40.59.767446 +0530
	_ru_is_	Cruise	old					0	14	14	6	88.1281284								88.107517	88.1281284	88.1281284	88.1281284	0.0042829	93.6276409	cruise	[0.11018518518518519]	[-0.29907407407407405]	[1]	[0]	[0]	[5.513944800011814]	['submit_text']		1	1	2024-11-07_14h40.45.827	Word Priming	2024.1.5	None	2024-11-07 14h40.59.767446 +0530
	_oo_	Book	old					0	15	15	13	93.673202								93.6300914	93.673202	93.673202	93.673202	0.0089544	97.0999943	book	[0.10277777777777777]	[-0.32222222222222224]	[1]	[0]	[0]	[3.460145400138572]	['submit_text']		1	1	2024-11-07_14h40.45.827	Word Priming	2024.1.5	None	2024-11-07 14h40.59.767446 +0530
	l_pt_p	Laptop	old					0	16	16	0	97.1304944								97.1017688	97.1304944	97.1304944	97.1304944	0.0070569	102.5171542	laptop	"[0.06851851851851852, 0.07685185185185185]"	"[-0.26666666666666666, -0.29907407407407405]"	"[1, 1]"	"[0, 0]"	"[0, 0]"	"[4.46740399999544, 5.407512499950826]"	['submit_text']		1	1	2024-11-07_14h40.45.827	Word Priming	2024.1.5	None	2024-11-07 14h40.59.767446 +0530
	_ho_e	Phone	old					0	17	17	12	102.54721								102.5188491	102.54721	102.54721	102.54721	0.0063468	113.1059491	whole	[0.04259259259259259]	[-0.30462962962962964]	[1]	[0]	[0]	[10.579756199847907]	['submit_text']	112.5627717	1	1	2024-11-07_14h40.45.827	Word Priming	2024.1.5	None	2024-11-07 14h40.59.767446 +0530
	v_s_	Vase	new					0	18	18	17	113.1394625								113.1078235	113.1394625	113.1394625	113.1394625	0.0110107	117.1129488	vase	"[0.1175925925925926, 0.08796296296296297]"	"[-0.33425925925925926, -0.29444444444444445]"	"[1, 1]"	"[0, 0]"	"[0, 0]"	"[3.1909884000197053, 3.993186700157821]"	['submit_text']		1	1	2024-11-07_14h40.45.827	Word Priming	2024.1.5	None	2024-11-07 14h40.59.767446 +0530
	p_nc_l	Pencil	new					0	19	19	16	117.1459044								117.114972	117.1459044	117.1459044	117.1459044	0.0072538	120.4684488	pencil	[0.08796296296296297]	[-0.29444444444444445]	[1]	[0]	[0]	[3.3441554000601172]	['submit_text']		1	1	2024-11-07_14h40.45.827	Word Priming	2024.1.5	None	2024-11-07 14h40.59.767446 +0530
